system,submitter,model,scenario,tokens_s,accelerators,availability,id
NVIDIA-deepseek-r1-GB300,NVIDIA,deepseek-r1,Offline,420659.00,72,available,5.1-0072
NVIDIA-deepseek-r1-GB300,NVIDIA,deepseek-r1,Server,209328.00,72,available,5.1-0072
NVIDIA-deepseek-r1-GB200,NVIDIA,deepseek-r1,Offline,289712.00,72,available,5.1-0071
NVIDIA-deepseek-r1-GB200,NVIDIA,deepseek-r1,Server,167578.00,72,available,5.1-0071
MangoBoost-llama2-70b-99.9,MangoBoost,llama2-70b-99.9,Offline,169197.00,48,available,5.1-0065
MangoBoost-llama2-70b-99.9,MangoBoost,llama2-70b-99.9,Server,153076.00,48,available,5.1-0065
MangoBoost-llama2-70b-99,MangoBoost,llama2-70b-99,Offline,169197.00,48,available,5.1-0065
MangoBoost-llama2-70b-99,MangoBoost,llama2-70b-99,Server,153076.00,48,available,5.1-0065
Lenovo-llama3.1-8b-SR780a,Lenovo,llama3.1-8b,Offline,146960.00,8,available,5.1-0062
Lenovo-llama3.1-8b-SR780a,Lenovo,llama3.1-8b,Server,128689.00,8,available,5.1-0062
Oracle-llama3.1-8b-B200,Oracle,llama3.1-8b,Offline,145789.00,8,available,5.1-0076
Oracle-llama3.1-8b-B200,Oracle,llama3.1-8b,Server,128649.00,8,available,5.1-0076
Dell-llama3.1-8b-XE9685L,Dell,llama3.1-8b,Offline,143904.00,8,available,5.1-0028
Dell-llama3.1-8b-XE9685L,Dell,llama3.1-8b,Server,128794.00,8,available,5.1-0028
Dell-llama3.1-8b-XE9680L,Dell,llama3.1-8b,Offline,143309.00,8,available,5.1-0024
Dell-llama3.1-8b-XE9680L,Dell,llama3.1-8b,Server,128787.00,8,available,5.1-0024
Supermicro-llama3.1-8b-AS4126,Supermicro,llama3.1-8b,Offline,142955.00,8,available,5.1-0086
Supermicro-llama3.1-8b-AS4126,Supermicro,llama3.1-8b,Server,128701.00,8,available,5.1-0086
GigaComputing-llama3.1-8b-G894,GigaComputing,llama3.1-8b,Offline,142136.00,8,available,5.1-0046
GigaComputing-llama3.1-8b-G894,GigaComputing,llama3.1-8b,Server,128660.00,8,available,5.1-0046
Google-llama3.1-8b-B200,Google,llama3.1-8b,Offline,141138.00,8,available,5.1-0047
Google-llama3.1-8b-B200,Google,llama3.1-8b,Server,119628.00,8,available,5.1-0047
NVIDIA-llama3.1-8b-B200,NVIDIA,llama3.1-8b,Offline,136752.00,8,available,5.1-0069
NVIDIA-llama3.1-8b-B200,NVIDIA,llama3.1-8b,Server,128541.00,8,available,5.1-0069
Cisco-llama2-70b-99.9-H100,Cisco,llama2-70b-99.9,Offline,124879.00,32,available,5.1-0016
Cisco-llama2-70b-99.9-H100,Cisco,llama2-70b-99.9,Server,122274.00,32,available,5.1-0016
Cisco-llama2-70b-99-H100,Cisco,llama2-70b-99,Offline,124879.00,32,available,5.1-0016
Cisco-llama2-70b-99-H100,Cisco,llama2-70b-99,Server,122274.00,32,available,5.1-0016
Lenovo-llama2-70b-99.9-SR680a,Lenovo,llama2-70b-99.9,Offline,102909.00,8,available,5.1-0061
Lenovo-llama2-70b-99.9-SR680a,Lenovo,llama2-70b-99.9,Server,99203.90,8,available,5.1-0061
Lenovo-llama2-70b-99-SR680a,Lenovo,llama2-70b-99,Offline,102909.00,8,available,5.1-0061
Lenovo-llama2-70b-99-SR680a,Lenovo,llama2-70b-99,Server,99159.30,8,available,5.1-0061
Lambda-llama2-70b-99-B200,Lambda,llama2-70b-99,Offline,102725.00,8,available,5.1-0060
Lambda-llama2-70b-99-B200,Lambda,llama2-70b-99,Server,99993.90,8,available,5.1-0060
Supermicro-llama2-70b-99-B200,Supermicro,llama2-70b-99,Offline,102498.00,8,available,5.1-0088
Supermicro-llama2-70b-99-B200,Supermicro,llama2-70b-99,Server,99181.10,8,available,5.1-0088
Supermicro-llama2-70b-99-B200,Supermicro,llama2-70b-99,Interactive,60131.00,8,available,5.1-0088
Dell-llama2-70b-99.9-XE9685L,Dell,llama2-70b-99.9,Offline,102131.00,8,available,5.1-0028
Dell-llama2-70b-99.9-XE9685L,Dell,llama2-70b-99.9,Server,99214.40,8,available,5.1-0028
Supermicro-llama2-70b-99.9-AS4126,Supermicro,llama2-70b-99.9,Offline,101865.00,8,available,5.1-0086
Supermicro-llama2-70b-99.9-AS4126,Supermicro,llama2-70b-99.9,Server,99182.30,8,available,5.1-0086
